atom_id,name,version,description,category,status,maturity,runtime,interface,hosting,signature_hash,function_count,source_url
mcp.amazon-bedrock-agentcore,Amazon Bedrock Agentcore,1.0.0,Model Context Protocol (MCP) server for Amazon Bedrock AgentCore — providing operational API tools that let AI coding agents manage AgentCore resources directly.,Integration,registered,stable,python3.10+,std-atom-http-v1,docker,21e481ea93d5fc884e380bca11ff0fb7,1,mcp-main\src\amazon-bedrock-agentcore-mcp-server
mcp.amazon-kendra-index,Amazon Kendra Index,1.0.0,An AWS Labs Model Context Protocol (MCP) server for Amazon Kendra. This MCP server allows you to use Kendra Indices as additional context for RAG.,Integration,registered,stable,python3.10+,std-atom-http-v1,docker,c190919053991637f57c1945bd6b81d8,2,mcp-main\src\amazon-kendra-index-mcp-server
mcp.amazon-keyspaces,Amazon Keyspaces,1.0.0,An Amazon Keyspaces (for Apache Cassandra) MCP server for interacting with Amazon Keyspaces and Apache Cassandra.,Integration,registered,stable,python3.10+,std-atom-http-v1,docker,99c2ae4a720947291927f702abe816e4,6,mcp-main\src\amazon-keyspaces-mcp-server
mcp.amazon-mq,Amazon Mq,1.0.0,A Model Context Protocol (MCP) server for Amazon MQ that enables generative AI models to manage RabbitMQ and ActiveMQ message brokers through MCP tools.,Integration,registered,stable,python3.10+,std-atom-http-v1,docker,a1781354b2006cc06035e791d61828d0,2,mcp-main\src\amazon-mq-mcp-server
mcp.amazon-neptune,Amazon Neptune,1.0.0,"An Amazon Neptune MCP server that allows for fetching status, schema, and querying using openCypher and Gremlin for Neptune Database and openCypher for Neptune Analytics.",Integration,registered,stable,python3.10+,std-atom-http-v1,docker,8084119d1e7ddced34c386cf1d940bfd,4,mcp-main\src\amazon-neptune-mcp-server
mcp.amazon-qbusiness-anonymous,Amazon Qbusiness Anonymous,1.0.0,"An AWS Labs Model Context Protocol (MCP) server for Amazon Q Business anonymous mode application. This is a simple MCP server for Amazon Q Business, and it supports Amazon Q Business application created using [anonymous mode access](https://docs.aws.amazon.com/amazonq/latest/qbusiness-ug/create-anon",Integration,registered,stable,python3.10+,std-atom-http-v1,docker,f6f478934c40ca0b3dc709b7dacaf0c7,1,mcp-main\src\amazon-qbusiness-anonymous-mcp-server
mcp.amazon-qindex,Amazon Qindex,1.0.0,The AWS Labs amazon-qindex MCP Server is a Model Context Protocol (MCP) server designed to facilitate integration with Amazon Q Business's [SearchRelevantContent API](https://docs.aws.amazon.com/amazonq/latest/qbusiness-ug/isv-calling-api-idc.html). While the server provides essential tools and func,Document & Data,registered,stable,python3.10+,std-atom-http-v1,docker,14c458598559ce60a0357f1607cb2661,4,mcp-main\src\amazon-qindex-mcp-server
mcp.amazon-sns-sqs,Amazon Sns Sqs,1.0.0,A Model Context Protocol (MCP) server for Amazon SNS / SQS that enables generative AI models to manage SNS Topics and SQS Queues through MCP tools.,Integration,registered,stable,python3.10+,std-atom-http-v1,docker,fc6d784e7c20fa42a660868cdc7f0b5f,1,mcp-main\src\amazon-sns-sqs-mcp-server
mcp.amazon-translate,Amazon Translate,1.0.0,[![License](https://img.shields.io/badge/License-Apache%202.0-blue.svg)](https://opensource.org/licenses/Apache-2.0) [![Python](https://img.shields.io/badge/python-3.10+-blue.svg)](https://www.python.org/downloads/),Document & Data,registered,stable,python3.10+,std-atom-http-v1,docker,c93a0341ea7a683d3cb303e9bbf67753,19,mcp-main\src\amazon-translate-mcp-server
mcp.aurora-dsql,Aurora Dsql,1.0.0,An AWS Labs Model Context Protocol (MCP) server for Aurora DSQL and corresponding AI rules that can be used for additional model steering while developing.,Document & Data,registered,stable,python3.10+,std-atom-http-v1,docker,2e72a7b7de20dc5aabd620e4f7e454e7,7,mcp-main\src\aurora-dsql-mcp-server
mcp.aws-api,Aws Api,1.0.0,The AWS API MCP Server enables AI assistants to interact with AWS services and resources through AWS CLI commands. It provides programmatic access to manage your AWS infrastructure while maintaining proper security controls.,Web & Browser,registered,stable,python3.10+,std-atom-http-v1,docker,2cc19f73c202f9aa9f340c95e6ceddcc,1,mcp-main\src\aws-api-mcp-server
mcp.aws-appsync,Aws Appsync,1.0.0,A Model Context Protocol (MCP) server for AWS AppSync that enables AI assistants to manage and interact with backend APIs.,Cloud & Storage,registered,stable,python3.10+,std-atom-http-v1,docker,410f8b61dc1c3ffbd06cbc6328fd34f0,1,mcp-main\src\aws-appsync-mcp-server
mcp.aws-bedrock-custom-model-import,Aws Bedrock Custom Model Import,1.0.0,"The Bedrock Custom Model Import Model Context Protocol (MCP) Server streamlines the process of importing custom models into Amazon Bedrock. It provides a comprehensive set of tools for managing model import jobs and imported models, enabling developers to efficiently integrate their custom models wi",Cloud & Storage,registered,stable,python3.10+,std-atom-http-v1,docker,51ea42bf5d667191a2b061b1374b82e5,1,mcp-main\src\aws-bedrock-custom-model-import-mcp-server
